Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;2871
Alkmaar;KD34;Opkomst;;1103
Alkmaar;KD34;AantalStembriefjes;;1103
Alkmaar;KD34;AantalGeldigeStemmen;;1091
Alkmaar;KD34;AantalBlancoStemmen;;5
Alkmaar;KD34;;jhr.mr. C.van Foreest;525
Alkmaar;KD34;;mr. P. Blussé van Oud-Alblas;507
Alkmaar;KD34;;J.L. Kikkert;45
Almelo;KD15;Kiesgerechtigden;;1876
Almelo;KD15;AantalStembriefjes;;1240
Almelo;KD15;Opkomst;;1239
Almelo;KD15;AantalGeldigeStemmen;;1229
Almelo;KD15;AantalBlancoStemmen;;8
Almelo;KD15;;dr. W.R.baron van Hoëvell;812
Almelo;KD15;;mr. B. Brouwer;320
Almelo;KD15;;mr. A.A.van Wulfften Palthe;44
Almelo;KD15;;S.A.van Hoogstraten;24
Amersfoort;KD26;Kiesgerechtigden;;2763
Amersfoort;KD26;Opkomst;;1070
Amersfoort;KD26;AantalStembriefjes;;1070
Amersfoort;KD26;AantalGeldigeStemmen;;1039
Amersfoort;KD26;AantalBlancoStemmen;;12
Amersfoort;KD26;;mr. J.K.baron van Goltstein;725
Amersfoort;KD26;;jhr.mr. H.A.M.van Asch van Wijck;598
Amersfoort;KD26;;mr. G. Groen van Prinsterer;210
Amersfoort;KD26;;mr. A.W. Engelen;78
Amsterdam;KD72;Kiesgerechtigden;;4318
Amsterdam;KD72;AantalStembriefjes;;1365
Amsterdam;KD72;Opkomst;;1364
Amsterdam;KD72;AantalGeldigeStemmen;;1358
Amsterdam;KD72;AantalBlancoStemmen;;30
Amsterdam;KD72;;mr. J. Heemskerk Azn.;1232
Amsterdam;KD72;;mr. C.van Heukelom;1190
Amsterdam;KD72;;S. Cool;688
Amsterdam;KD72;;W. Poolman;627
Amsterdam;KD72;;jhr.mr. P.J. Teding van Berkhout;144
Amsterdam;KD72;;E.W. Cramerus;143
Appingedam;KD3;Kiesgerechtigden;;3138
Appingedam;KD3;AantalStembriefjes;;823
Appingedam;KD3;Opkomst;;822
Appingedam;KD3;AantalGeldigeStemmen;;805
Appingedam;KD3;AantalBlancoStemmen;;4
Appingedam;KD3;;dr. R. Westerhoff;743
Arnhem;KD17;Kiesgerechtigden;;2774
Arnhem;KD17;Opkomst;;1418
Arnhem;KD17;AantalStembriefjes;;1418
Arnhem;KD17;AantalGeldigeStemmen;;1403
Arnhem;KD17;AantalBlancoStemmen;;7
Arnhem;KD17;;mr. W.baron van Lynden;940
Arnhem;KD17;;jhr.mr. J.G.H.van Tets van Goudriaan;448
Assen;KD5;Kiesgerechtigden;;2356
Assen;KD5;Opkomst;;670
Assen;KD5;AantalStembriefjes;;670
Assen;KD5;AantalGeldigeStemmen;;657
Assen;KD5;AantalBlancoStemmen;;5
Assen;KD5;;mr. L.graaf van Heiden Reinestein;619
Boxmeer;KD75;Kiesgerechtigden;;1103
Boxmeer;KD75;Opkomst;;973
Boxmeer;KD75;AantalStembriefjes;;973
Boxmeer;KD75;AantalGeldigeStemmen;;963
Boxmeer;KD75;AantalBlancoStemmen;;4
Boxmeer;KD75;;H.C.F. Kerstens;632
Boxmeer;KD75;;mr. J.H.L. Haffmans;329
Breda;KD61;Kiesgerechtigden;;3639
Breda;KD61;AantalStembriefjes;;1751
Breda;KD61;Opkomst;;1748
Breda;KD61;AantalGeldigeStemmen;;1736
Breda;KD61;AantalBlancoStemmen;;13
Breda;KD61;;C.W. Oomen;1014
Breda;KD61;;N.R.H. Guljé;675
Delft;KD45;Kiesgerechtigden;;2859
Delft;KD45;AantalStembriefjes;;1420
Delft;KD45;Opkomst;;1419
Delft;KD45;AantalGeldigeStemmen;;1404
Delft;KD45;AantalBlancoStemmen;;15
Delft;KD45;;C. Hoekwater;662
Delft;KD45;;jhr.mr. H.G.C.L. Janssens;606
Delft;KD45;;mr. R.J.C. Metelerkamp;83
Deventer;KD14;Kiesgerechtigden;;1405
Deventer;KD14;Opkomst;;521
Deventer;KD14;AantalStembriefjes;;521
Deventer;KD14;AantalGeldigeStemmen;;477
Deventer;KD14;AantalBlancoStemmen;;37
Deventer;KD14;;mr. J.R. Thorbecke;403
Deventer;KD14;;mr. H.van Loghem;56
Dokkum;KD8;Kiesgerechtigden;;2451
Dokkum;KD8;Opkomst;;662
Dokkum;KD8;AantalStembriefjes;;662
Dokkum;KD8;AantalGeldigeStemmen;;650
Dokkum;KD8;AantalBlancoStemmen;;10
Dokkum;KD8;;M. Kingma Hzn.;564
Dordrecht;KD42;Kiesgerechtigden;;2037
Dordrecht;KD42;Opkomst;;943
Dordrecht;KD42;AantalStembriefjes;;943
Dordrecht;KD42;AantalGeldigeStemmen;;931
Dordrecht;KD42;AantalBlancoStemmen;;11
Dordrecht;KD42;;mr. P. Blussé van Oud-Alblas;414
Dordrecht;KD42;;mr. J.D.van der Poel;285
Dordrecht;KD42;;jhr.mr. H.J.van der Heim;194
Eindhoven;KD60;Kiesgerechtigden;;2121
Eindhoven;KD60;AantalStembriefjes;;1083
Eindhoven;KD60;Opkomst;;1082
Eindhoven;KD60;AantalGeldigeStemmen;;1081
Eindhoven;KD60;AantalBlancoStemmen;;2
Eindhoven;KD60;;mr. J.B. Bots;999
Eindhoven;KD60;;W.van Rekum;37
Goes;KD53;Kiesgerechtigden;;1305
Goes;KD53;Opkomst;;871
Goes;KD53;AantalStembriefjes;;871
Goes;KD53;AantalGeldigeStemmen;;845
Goes;KD53;AantalBlancoStemmen;;8
Goes;KD53;;B.P.G.van Diggelen;569
Goes;KD53;;I.D. Fransen van de Putte;236
Goes;KD53;;J.K.van Baalen;21
Gorinchem;KD41;Kiesgerechtigden;;2868
Gorinchem;KD41;AantalStembriefjes;;1609
Gorinchem;KD41;Opkomst;;1608
Gorinchem;KD41;AantalGeldigeStemmen;;1592
Gorinchem;KD41;AantalBlancoStemmen;;10
Gorinchem;KD41;;mr. A.J. Korteweg;641
Gorinchem;KD41;;jhr.mr. P.J. Elout van Soeterwoude;581
Gorinchem;KD41;;C. Schiffer;333
Gouda;KD40;Kiesgerechtigden;;3102
Gouda;KD40;AantalStembriefjes;;1241
Gouda;KD40;Opkomst;;1240
Gouda;KD40;AantalGeldigeStemmen;;1209
Gouda;KD40;AantalBlancoStemmen;;31
Gouda;KD40;;jhr.mr. W.M.de Brauw;915
Gouda;KD40;;mr. A. Jongkindt Coninck;272
Groningen;KD1;Kiesgerechtigden;;1521
Groningen;KD1;Opkomst;;290
Groningen;KD1;AantalStembriefjes;;290
Groningen;KD1;AantalGeldigeStemmen;;272
Groningen;KD1;AantalBlancoStemmen;;18
Groningen;KD1;;mr. B. Wichers;253
Hoorn;KD35;Kiesgerechtigden;;3786
Hoorn;KD35;AantalStembriefjes;;1005
Hoorn;KD35;Opkomst;;1004
Hoorn;KD35;AantalGeldigeStemmen;;981
Hoorn;KD35;AantalBlancoStemmen;;15
Hoorn;KD35;;mr.dr. P.M. Tutein Nolthenius;641
Hoorn;KD35;;mr. M.J.de Lange;288
Leeuwarden;KD7;Kiesgerechtigden;;2946
Leeuwarden;KD7;Opkomst;;1052
Leeuwarden;KD7;AantalStembriefjes;;1052
Leeuwarden;KD7;AantalGeldigeStemmen;;1039
Leeuwarden;KD7;AantalBlancoStemmen;;12
Leeuwarden;KD7;;mr. J. Dirks;520
Leeuwarden;KD7;;J. Hessels Tacoma;500
Leiden;KD38;Kiesgerechtigden;;2458
Leiden;KD38;AantalStembriefjes;;653
Leiden;KD38;Opkomst;;652
Leiden;KD38;AantalGeldigeStemmen;;620
Leiden;KD38;AantalBlancoStemmen;;7
Leiden;KD38;;mr. R.J.graaf van Schimmelpenninck;433
Leiden;KD38;;mr. N. Olivier;161
Maastricht;KD64;Kiesgerechtigden;;2013
Maastricht;KD64;Opkomst;;815
Maastricht;KD64;AantalStembriefjes;;815
Maastricht;KD64;AantalGeldigeStemmen;;786
Maastricht;KD64;AantalBlancoStemmen;;20
Maastricht;KD64;;mr. P.F.E.van Wintershoven;780
Middelburg;KD51;Kiesgerechtigden;;2496
Middelburg;KD51;Opkomst;;1084
Middelburg;KD51;AantalStembriefjes;;1084
Middelburg;KD51;AantalGeldigeStemmen;;1047
Middelburg;KD51;AantalBlancoStemmen;;9
Middelburg;KD51;;mr. D.van Eck;651
Middelburg;KD51;;jhr.mr. J.G.H.van Tets van Goudriaan;325
Nijmegen;KD23;Kiesgerechtigden;;2506
Nijmegen;KD23;Opkomst;;1196
Nijmegen;KD23;AantalStembriefjes;;1196
Nijmegen;KD23;AantalGeldigeStemmen;;1154
Nijmegen;KD23;AantalBlancoStemmen;;28
Nijmegen;KD23;;jhr. G.E.G.C.K. Dommer van Poldersveldt;1072
Nijmegen;KD23;;mr. C.G.van Sandick;54
Roermond;KD65;Kiesgerechtigden;;1596
Roermond;KD65;Opkomst;;1148
Roermond;KD65;AantalStembriefjes;;1148
Roermond;KD65;AantalGeldigeStemmen;;1122
Roermond;KD65;AantalBlancoStemmen;;10
Roermond;KD65;;mr. M.P.H. Strens;534
Roermond;KD65;;mr. K.L.J. Cornelis;522
Roermond;KD65;;mr. F.H.K.E.baron van Keverberg de Kessel;30
Roermond;KD65;;mr. E.de Ras;23
Rotterdam;KD73;Kiesgerechtigden;;2781
Rotterdam;KD73;Opkomst;;1162
Rotterdam;KD73;AantalStembriefjes;;1162
Rotterdam;KD73;AantalGeldigeStemmen;;1159
Rotterdam;KD73;AantalBlancoStemmen;;3
Rotterdam;KD73;;mr. N. Olivier;528
Rotterdam;KD73;;I.D. Fransen van de Putte;328
Rotterdam;KD73;;mr. P. Mijer;268
's-Gravenhage;KD74;Kiesgerechtigden;;2041
's-Gravenhage;KD74;AantalStembriefjes;;989
's-Gravenhage;KD74;Opkomst;;988
's-Gravenhage;KD74;AantalGeldigeStemmen;;981
's-Gravenhage;KD74;AantalBlancoStemmen;;6
's-Gravenhage;KD74;;jhr.mr. W.T. Gevers Deynoot;588
's-Gravenhage;KD74;;dr. A. Vrolik;369
's-Hertogenbosch;KD55;Kiesgerechtigden;;2720
's-Hertogenbosch;KD55;AantalStembriefjes;;1010
's-Hertogenbosch;KD55;Opkomst;;1007
's-Hertogenbosch;KD55;AantalGeldigeStemmen;;994
's-Hertogenbosch;KD55;AantalBlancoStemmen;;16
's-Hertogenbosch;KD55;;dr. J.H.H.de Poorter;955
Sneek;KD10;Kiesgerechtigden;;2759
Sneek;KD10;Opkomst;;1076
Sneek;KD10;AantalStembriefjes;;1076
Sneek;KD10;AantalGeldigeStemmen;;850
Sneek;KD10;AantalBlancoStemmen;;17
Sneek;KD10;;mr. S. Wybenga;452
Sneek;KD10;;L. Britzel;378
Steenwijk;KD70;Kiesgerechtigden;;1365
Steenwijk;KD70;Opkomst;;583
Steenwijk;KD70;AantalStembriefjes;;583
Steenwijk;KD70;AantalGeldigeStemmen;;565
Steenwijk;KD70;AantalBlancoStemmen;;7
Steenwijk;KD70;;jhr. C.M. Storm van 's Gravesande;318
Steenwijk;KD70;;J. Zeehuizen;174
Steenwijk;KD70;;mr. G. Groen van Prinsterer;44
Steenwijk;KD70;;J.van Andel;17
Tilburg;KD57;Kiesgerechtigden;;2949
Tilburg;KD57;Opkomst;;1131
Tilburg;KD57;AantalStembriefjes;;1131
Tilburg;KD57;AantalGeldigeStemmen;;1123
Tilburg;KD57;AantalBlancoStemmen;;3
Tilburg;KD57;;mr. C.C.A. Beens;600
Tilburg;KD57;;mr. E.J.H. Borret;487
Utrecht;KD25;Kiesgerechtigden;;2755
Utrecht;KD25;Opkomst;;761
Utrecht;KD25;AantalStembriefjes;;761
Utrecht;KD25;AantalGeldigeStemmen;;742
Utrecht;KD25;AantalBlancoStemmen;;19
Utrecht;KD25;;mr. E.du Marchie van Voorthuysen;704
Zutphen;KD19;Kiesgerechtigden;;2577
Zutphen;KD19;Opkomst;;1454
Zutphen;KD19;AantalStembriefjes;;1454
Zutphen;KD19;AantalGeldigeStemmen;;1418
Zutphen;KD19;AantalBlancoStemmen;;19
Zutphen;KD19;;mr. P.P.van Bosse;1035
Zutphen;KD19;;mr. F.W.J.baron van Pallandt;184
Zutphen;KD19;;mr. H.A. ridder van Rappard;137
Zwolle;KD12;Kiesgerechtigden;;2973
Zwolle;KD12;AantalStembriefjes;;1144
Zwolle;KD12;Opkomst;;1140
Zwolle;KD12;AantalGeldigeStemmen;;1132
Zwolle;KD12;AantalBlancoStemmen;;5
Zwolle;KD12;;mr. P. Mijer;508
Zwolle;KD12;;T.J. Stieltjes;459
Zwolle;KD12;;mr. S.J.van Roijen;121
