RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Overig;Lijst Welter
Dreischor;G1047;10885;Zeeland;P29;686;633;0;;633;5;325;37;40;185;3;20;17;1
Dreumel;G0224;11232;Gelderland;P25;1398;1317;0;;1317;1132;106;7;34;18;5;;5;10
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;6815;6545;0;;6545;927;1639;1683;885;719;86;369;119;118
Driewegen;G0661;11115;Zeeland;P29;401;376;0;;376;42;77;66;122;38;2;12;16;1
Drunen;G0767;10428;Noord-Brabant;P30;2718;2609;0;;2609;2501;45;15;16;2;9;7;1;13
Druten;G0225;10068;Gelderland;P25;3612;3473;0;;3473;3083;127;24;140;24;8;6;20;41
Dubbeldam;G0507;10781;Zuid-Holland;P28;3199;2909;0;;2909;54;748;758;619;482;48;165;22;13
Duiven;G0226;11028;Gelderland;P25;2265;2137;0;;2137;1983;48;27;45;7;3;4;3;17
Duivendijke;G1050;10335;Zeeland;P29;278;301;0;;301;7;86;128;30;30;10;9;1;
Dussen;G0769;10261;Noord-Brabant;P30;2122;1964;0;;1964;1208;111;321;199;17;8;93;4;3
Dwingeloo;G0112;10331;Drenthe;P22;1914;1802;0;;1802;16;906;292;81;441;28;3;32;3
Echt;G0902;10941;Limburg;P31;5866;5526;0;;5526;5019;209;18;5;11;56;6;22;180
Echteld;G0227;10832;Gelderland;P25;1977;1882;0;;1882;52;908;362;140;141;29;242;7;1
Edam-Volendam;G0385;10884;Noord-Holland;P27;5334;5151;0;;5151;3446;664;180;255;389;131;3;61;22
Ede;G0228;10743;Gelderland;P25;22533;22339;0;;22339;1278;4505;5110;5002;1354;446;4280;260;104
Eelde;G0113;10622;Drenthe;P22;2469;2209;0;;2209;44;1119;126;74;611;138;7;79;11
Eemnes;G0317;10248;Utrecht;P26;1184;1083;0;;1083;519;85;246;56;41;49;66;11;10
Eenrum;G0011;10904;Groningen;P20;1628;1508;0;;1508;48;707;354;35;262;42;2;55;3
Eersel;G0770;10741;Noord-Brabant;P30;1810;1751;0;;1751;1697;18;8;18;2;;;3;5
Eethen;G0771;10010;Noord-Brabant;P30;1494;1416;0;;1416;58;191;546;319;45;8;246;2;1
Egmond aan Zee;G0386;10421;Noord-Holland;P27;1858;2146;0;;2146;261;1215;165;81;177;196;;32;19
Egmond-Binnen;G0387;10989;Noord-Holland;P27;1406;1426;0;;1426;1180;140;16;11;40;22;1;6;10
Eibergen;G0229;10436;Gelderland;P25;6006;5570;0;;5570;2431;1501;447;705;436;21;5;20;4
Eijgelshoven;G0904;10960;Limburg;P31;2142;1932;0;;1932;1467;170;13;16;23;152;7;6;78
Eijsden;G0905;10314;Limburg;P31;2363;2155;0;;2155;1943;76;19;4;3;14;6;9;81
Eindhoven;G0772;11298;Noord-Brabant;P30;69618;63593;0;;63593;40409;13626;2571;1282;2166;2087;107;365;980
Elburg;G0230;11113;Gelderland;P25;1616;1520;0;;1520;13;146;350;559;41;6;401;4;
Elkerzee;G1053;10184;Zeeland;P29;338;327;0;;327;3;77;113;68;38;;26;2;
Ellemeet;G1054;10102;Zeeland;P29;312;277;0;;277;3;125;41;53;38;1;13;3;
Ellewoutsdijk;G0663;11300;Zeeland;P29;366;302;0;;302;7;119;25;79;31;;12;24;5
Elsloo;G0903;11187;Limburg;P31;1681;1521;0;;1521;1410;62;9;2;2;11;1;1;23
Elst;G0231;11188;Gelderland;P25;5508;5268;0;;5268;3102;898;484;431;179;45;59;34;36
Emmen;G0114;11180;Drenthe;P22;26598;23163;0;;23163;4052;7118;3866;3342;2328;2258;48;106;45
Empel en Meerwijk;G0773;10295;Noord-Brabant;P30;413;372;0;;372;359;4;6;1;;;1;;1
Engelen;G0774;10322;Noord-Brabant;P30;395;349;0;;349;292;31;2;19;2;;2;1;
Enkhuizen;G0388;10729;Noord-Holland;P27;6139;5648;0;;5648;826;1962;1189;688;481;285;185;20;12
Enschede;G0153;10364;Overijssel;P23;59464;53184;0;;53184;12225;15339;5409;3899;6032;9557;208;281;234
Epe;G0232;10940;Gelderland;P25;10120;9932;0;;9932;1021;3787;1501;1553;1304;228;410;94;34
Ermelo;G0233;10732;Gelderland;P25;10538;11453;0;;11453;345;1547;3137;3656;744;244;1599;111;70
Erp;G0775;10385;Noord-Brabant;P30;1749;1668;0;;1668;1646;5;1;1;3;2;;4;6
Esch;G0776;10709;Noord-Brabant;P30;439;417;0;;417;375;32;;4;2;1;;;3
Est en Opijnen;G0234;11092;Gelderland;P25;628;563;0;;563;9;221;69;137;51;;64;12;
Etten-Leur;G0777;10750;Noord-Brabant;P30;5990;5540;0;;5540;4689;466;74;163;25;33;5;25;60
Everdingen;G0508;10638;Zuid-Holland;P28;597;553;0;;553;91;62;119;51;81;4;142;3;
Ewijk;G0235;10471;Gelderland;P25;1687;1547;0;;1547;1399;78;3;49;3;1;1;5;8
Ezinge;G0012;10136;Groningen;P20;1159;1069;0;;1069;1;350;451;44;164;14;1;44;
Ferwerderadeel;G0068;11284;Fryslân;P21;5042;4672;0;;4672;18;935;2446;889;266;53;5;59;1
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;2658;2496;0;;2496;993;168;340;851;46;2;83;2;11
Finsterwolde;G0013;10212;Groningen;P20;1986;1732;0;;1732;20;375;71;85;206;929;5;37;4
Franeker;G0069;11226;Fryslân;P21;5365;4422;0;;4422;588;1400;1143;507;324;377;6;74;3
Franekeradeel;G0070;10404;Fryslân;P21;3053;2692;0;;2692;114;1004;605;616;202;90;9;50;2
Gaasterland;G0071;10036;Fryslân;P21;3656;3478;0;;3478;772;396;705;1257;86;43;179;36;4
Gameren;G1058;10037;Gelderland;P25;1147;1023;0;;1023;12;219;388;30;13;4;351;6;
Gasselte;G0115;11099;Drenthe;P22;2120;1937;0;;1937;22;843;270;254;262;245;3;38;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;1760;1585;0;;1585;1200;179;77;47;40;13;6;5;18
Geervliet;G0509;10842;Zuid-Holland;P28;676;615;0;;615;;235;94;82;131;34;34;4;1
Geffen;G0780;10370;Noord-Brabant;P30;1065;1003;0;;1003;947;44;2;3;;;1;1;5
Geldermalsen;G0236;10881;Gelderland;P25;3146;2775;0;;2775;52;1146;276;614;255;60;341;26;5
Geldrop;G0781;10529;Noord-Brabant;P30;6090;5700;0;;5700;4396;842;110;84;68;118;7;20;55
Geleen;G0906;10048;Limburg;P31;9117;8625;0;;8625;6280;1294;276;91;67;456;10;33;118
Gemert;G0782;10277;Noord-Brabant;P30;4404;4155;0;;4155;3909;112;21;20;17;41;1;6;28
Gendringen;G0237;10260;Gelderland;P25;5914;5654;0;;5654;4432;403;274;419;52;27;5;6;36
Gendt;G0238;10440;Gelderland;P25;1984;1919;0;;1919;1734;52;30;71;5;7;5;2;13
Genemuiden;G0154;10746;Overijssel;P23;2154;1882;0;;1882;6;368;559;319;52;7;561;8;2
Gennep;G0907;10542;Limburg;P31;2056;1951;0;;1951;1541;227;19;28;16;28;2;12;78
Geulle;G0908;10530;Limburg;P31;1026;948;0;;948;840;57;4;1;9;7;;3;27
Giessen;G0783;10193;Noord-Brabant;P30;319;277;0;;277;;44;96;112;8;;17;;
Giessendam;G1063;10606;Zuid-Holland;P28;2583;2216;0;;2216;5;377;654;234;201;56;670;19;
Giessen-Nieuwkerk;G1062;10255;Zuid-Holland;P28;675;620;0;;620;4;112;288;79;72;1;58;6;
Gieten;G0116;10506;Drenthe;P22;2202;2005;0;;2005;20;1055;105;242;479;60;5;36;3
Giethoorn;G0155;10708;Overijssel;P23;1518;1435;0;;1435;26;664;123;221;153;227;3;11;7
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;5120;5133;0;;5133;4684;221;56;15;38;38;5;14;62
Goedereede;G0511;10981;Zuid-Holland;P28;742;648;0;;648;4;165;228;47;76;12;110;6;
Goes;G0664;10674;Zeeland;P29;7426;6861;0;;6861;1070;2007;1019;1532;592;78;260;241;62
Goirle;G0785;10971;Noord-Brabant;P30;3407;3115;0;;3115;2734;178;19;13;19;28;;29;95
Goor;G0156;10076;Overijssel;P23;3096;2989;0;;2989;703;1462;116;149;287;251;4;3;14
Gorinchem;G0512;10942;Zuid-Holland;P28;9205;8424;0;;8424;954;3665;1551;423;1208;380;148;42;53
Gorssel;G0239;10085;Gelderland;P25;6148;5912;0;;5912;366;1908;1044;1213;1020;254;18;62;27
Gouda;G0513;10302;Zuid-Holland;P28;21438;19702;0;;19702;4264;6547;3114;1120;1986;1551;736;204;180
Gouderak;G0514;11258;Zuid-Holland;P28;1165;1063;0;;1063;25;328;320;40;159;5;180;6;
Goudriaan;G0515;10450;Zuid-Holland;P28;365;347;0;;347;;32;187;18;67;1;42;;
Goudswaard;G0516;10914;Zuid-Holland;P28;797;725;0;;725;2;110;142;52;84;3;325;7;
Graauw en Langendam;G0665;10312;Zeeland;P29;1070;886;0;;886;826;18;11;3;6;1;1;2;18
Graft;G0389;10484;Noord-Holland;P27;675;649;0;;649;181;246;18;20;58;121;1;4;
Gramsbergen;G0157;11339;Overijssel;P23;2667;2469;0;;2469;68;651;785;775;157;8;10;14;1
Grathem;G0909;11008;Limburg;P31;884;856;0;;856;820;15;2;;1;3;;2;13
Grave;G0786;10165;Noord-Brabant;P30;2354;2108;0;;2108;1852;91;39;24;42;14;4;5;37
Grevenbicht;G0910;10624;Limburg;P31;1157;1033;0;;1033;843;106;4;39;2;21;;4;14
Grijpskerk;G0016;10244;Groningen;P20;2132;2031;0;;2031;9;306;1280;160;249;9;1;16;1
Grijpskerke;G1067;10801;Zeeland;P29;501;496;0;;496;6;27;290;107;;1;58;7;
Groede;G0667;11312;Zeeland;P29;1584;1422;0;;1422;219;535;135;136;318;18;10;46;5
Groenlo;G0240;11094;Gelderland;P25;2610;2542;0;;2542;2059;286;23;62;80;12;1;4;15
Groesbeek;G0241;10616;Gelderland;P25;5486;5385;0;;5385;4333;481;100;175;89;67;5;46;89
Groningen;G0014;10426;Groningen;P20;78680;68999;0;;68999;5966;24639;11443;6813;8107;8634;194;2741;462
Gronsveld;G0911;10323;Limburg;P31;1074;1090;0;;1090;1048;11;1;;1;3;;2;24
Groot-Ammers;G0520;11205;Zuid-Holland;P28;968;869;0;;869;6;146;331;40;155;;190;1;
Grootebroek;G0391;11337;Noord-Holland;P27;2289;2238;0;;2238;1937;174;10;4;30;68;1;1;13
Grootegast;G0015;11080;Groningen;P20;4395;4006;0;;4006;12;688;2471;467;191;123;20;28;6
Grubbenvorst;G0912;10176;Limburg;P31;1551;1503;0;;1503;1463;13;4;;2;2;;3;16
Gulpen;G0913;11032;Limburg;P31;1804;1660;0;;1660;1501;57;5;4;16;19;1;10;47
Haaften;G0242;10125;Gelderland;P25;1615;1488;0;;1488;8;628;255;308;38;3;236;12;
Haaksbergen;G0158;11435;Overijssel;P23;5737;5485;0;;5485;3789;938;87;65;477;79;9;15;26
Haamstede;G1068;10701;Zeeland;P29;1007;1045;0;;1045;16;270;223;260;198;10;55;11;2
Haaren;G0788;11155;Noord-Brabant;P30;1316;1258;0;;1258;1202;31;6;2;1;1;3;1;11
Haarlem;G0392;10357;Noord-Holland;P27;94751;84152;0;;84152;22830;27718;7963;3790;8209;9329;265;2204;1844
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;1966;1828;0;;1828;998;223;175;98;153;123;17;18;23
Haarlemmermeer;G0394;11387;Noord-Holland;P27;19259;17953;0;;17953;4163;3588;4132;3059;927;1319;324;223;218
Haarzuilens;G1069;10737;Utrecht;P26;261;263;0;;263;226;4;13;9;2;;4;;5
Haastrecht;G0521;11049;Zuid-Holland;P28;1351;1261;0;;1261;506;250;208;70;128;22;65;7;5
Haelen;G0914;10321;Limburg;P31;1507;1458;0;;1458;1381;29;1;;;9;1;;37
Hagestein;G0522;10297;Zuid-Holland;P28;487;439;0;;439;147;30;54;84;46;1;72;1;4
Halsteren;G0789;10387;Noord-Brabant;P30;3954;3541;0;;3541;2733;405;110;74;92;39;7;30;51
Haps;G0790;11283;Noord-Brabant;P30;880;862;0;;862;847;7;;;;1;;1;6
Hardenberg;G0160;10174;Overijssel;P23;10008;9448;0;;9448;1052;2209;3621;1970;478;66;18;27;7
Harderwijk;G0243;10786;Gelderland;P25;6159;6090;0;;6090;292;831;1613;2303;252;114;639;30;16
Hardinxveld;G1070;10167;Zuid-Holland;P28;4344;3606;0;;3606;22;1276;724;145;279;135;992;32;1
Haren;G0017;11058;Groningen;P20;7049;6265;0;;6265;118;1618;1481;1117;1351;251;14;271;44
Harenkarspel;G0395;10963;Noord-Holland;P27;1852;1746;0;;1746;1138;323;109;3;85;83;;5;
Harlingen;G0072;10909;Fryslân;P21;5952;5797;0;;5797;844;1993;873;1031;428;532;9;73;14
Harmelen;G0318;10183;Utrecht;P26;1370;1304;0;;1304;559;77;321;209;11;4;72;9;42
Haskerland;G0073;10022;Fryslân;P21;6054;5259;0;;5259;591;1895;719;1387;313;213;19;112;10
Hasselt;G0161;10115;Overijssel;P23;1290;1207;0;;1207;55;235;503;289;55;7;62;1;
Hattem;G0244;10673;Gelderland;P25;3202;3014;0;;3014;55;1123;668;677;273;162;28;20;8
Havelte;G0117;10186;Drenthe;P22;2331;2140;0;;2140;42;1282;119;165;464;24;3;40;1
Hazerswoude;G0524;11257;Zuid-Holland;P28;2720;2563;0;;2563;1001;83;723;525;59;16;141;3;12
Hedel;G0245;10982;Gelderland;P25;950;881;0;;881;385;81;157;67;11;10;161;7;2
Heel en Panheel;G0915;11208;Limburg;P31;1425;1397;0;;1397;1357;15;3;;4;6;;2;10
Heemskerk;G0396;10679;Noord-Holland;P27;2750;2665;0;;2665;2078;243;41;100;61;116;5;17;4
Heemstede;G0397;11288;Noord-Holland;P27;13849;12276;0;;12276;3495;1962;1788;772;2704;376;37;407;735
Heenvliet;G0525;10823;Zuid-Holland;P28;747;664;0;;664;3;174;83;32;226;127;11;8;
Heer;G0916;11407;Limburg;P31;3366;2971;0;;2971;2139;567;19;3;36;67;1;25;114
Heerde;G0246;10291;Gelderland;P25;6243;5748;0;;5748;49;1931;1211;1860;525;47;82;35;8
Heerenveen;G0074;10680;Fryslân;P21;13803;12117;0;;12117;431;4628;1689;1163;1380;2360;20;425;21
Heerewaarden;G0247;10067;Gelderland;P25;587;516;0;;516;11;348;18;17;107;8;6;1;
Heerhugowaard;G0398;10752;Noord-Holland;P27;2857;2742;0;;2742;1853;462;204;42;93;64;1;8;15
Heerjansdam;G0526;10540;Zuid-Holland;P28;785;720;0;;720;4;189;187;217;56;23;43;1;
Heerlen;G0917;10902;Limburg;P31;28394;26147;0;;26147;17831;3612;542;502;314;2094;27;228;997
Heesch;G0791;10149;Noord-Brabant;P30;1844;1721;0;;1721;1621;55;4;16;10;5;;4;6
Heeswijk;G1072;11229;Noord-Brabant;P30;986;956;0;;956;941;5;;;1;2;;;7
Heeze;G0793;10462;Noord-Brabant;P30;1985;1941;0;;1941;1727;83;17;67;17;5;2;3;20
Hei- en Boeicop;G0527;11024;Zuid-Holland;P28;423;387;0;;387;2;23;136;34;32;1;157;2;
Heiloo;G0399;10793;Noord-Holland;P27;5488;5138;0;;5138;2264;1424;289;156;566;319;8;56;56
Heinenoord;G0528;10821;Zuid-Holland;P28;1259;1131;0;;1131;12;279;314;202;137;14;160;12;1
Heinkenszand;G0672;10413;Zeeland;P29;1203;1129;0;;1129;521;77;155;248;40;2;54;10;22
Heino;G0162;10854;Overijssel;P23;1810;1730;0;;1730;836;263;115;431;62;7;3;7;6
Hekelingen;G1074;10873;Zuid-Holland;P28;610;566;0;;566;2;279;94;22;130;13;18;7;1
Hekendorp;G1075;10217;Zuid-Holland;P28;396;362;0;;362;109;32;67;81;27;1;43;1;1
Helden;G0918;10205;Limburg;P31;4031;3928;0;;3928;3836;24;2;7;11;1;2;4;41
Hellendoorn;G0163;10806;Overijssel;P23;9507;9257;0;;9257;1962;1754;2010;2811;401;137;119;50;13
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;578;559;0;;559;37;272;58;56;112;10;9;5;
Helmond;G0794;10932;Noord-Brabant;P30;17514;16064;0;;16064;12536;1970;158;119;203;746;10;110;212
Helvoirt;G0795;10389;Noord-Brabant;P30;1365;1278;0;;1278;1133;54;3;33;6;;1;3;45
Hemelumer Oldeferd;G0075;10334;Fryslân;P21;3023;2774;0;;2774;99;499;606;1414;65;23;34;34;
Hemmen;G1076;11162;Gelderland;P25;128;124;0;;124;8;13;23;41;7;;31;1;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;3035;2835;0;;2835;19;749;692;408;251;40;667;9;
Hengelo;G0248;10359;Gelderland;P25;3070;2882;0;;2882;996;515;684;414;176;24;53;15;5
Hengelo;G0164;10907;Overijssel;P23;27081;25130;0;;25130;8677;8571;1475;1283;2232;2569;60;138;125
Hennaarderadeel;G0076;10877;Fryslân;P21;2769;2579;0;;2579;120;644;536;1058;159;18;21;23;
Hensbroek;G0401;10181;Noord-Holland;P27;544;510;0;;510;273;153;9;8;21;42;2;1;1
Herkingen;G1078;10267;Zuid-Holland;P28;569;499;0;;499;4;26;195;24;17;2;229;2;
Herten;G0919;10138;Limburg;P31;916;868;0;;868;816;14;4;5;4;6;;;19
Herwen en Aerdt;G0249;10819;Gelderland;P25;3029;2793;0;;2793;2102;293;88;188;50;8;7;15;42
Herwijnen;G0250;11266;Gelderland;P25;1055;968;0;;968;6;299;298;217;66;3;78;1;
Het Bildt;G0063;10128;Fryslân;P21;5454;4990;0;;4990;21;1557;1650;777;426;417;3;136;3
Heteren;G0251;10290;Gelderland;P25;2308;2327;0;;2327;1195;178;266;310;51;37;272;7;11
Heukelum;G0533;11308;Zuid-Holland;P28;1040;969;0;;969;9;408;227;142;148;8;23;3;1
Heumen;G0252;10600;Gelderland;P25;1435;1359;0;;1359;1235;48;14;22;16;3;1;5;15
Heusden;G0797;10307;Noord-Brabant;P30;1660;1552;0;;1552;929;200;114;175;46;10;52;6;20
Heythuysen;G0920;10840;Limburg;P31;1563;1521;0;;1521;1467;13;4;5;3;2;1;3;23
Hillegom;G0534;11236;Zuid-Holland;P28;6864;6533;0;;6533;3322;938;694;908;269;82;70;31;219
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;2593;2473;0;;2473;2021;246;27;40;74;30;1;13;21
Hilversum;G0402;11285;Noord-Holland;P27;50618;45269;0;;45269;9423;11608;8168;3876;5764;3998;734;944;754
Hindeloopen;G0077;10672;Fryslân;P21;560;519;0;;519;13;236;84;145;9;21;1;9;1
Hoedekenskerke;G0673;11072;Zeeland;P29;865;855;0;;855;406;52;55;165;25;14;102;3;33
Hoek;G0674;10038;Zeeland;P29;1715;1556;0;;1556;42;374;243;333;232;13;302;15;2
Hoenkoop;G0319;10611;Utrecht;P26;303;292;0;;292;135;14;68;39;11;;21;1;3
Hoensbroek;G0921;11177;Limburg;P31;7542;6853;0;;6853;4609;983;106;116;21;834;4;36;144
Hoevelaken;G0253;11358;Gelderland;P25;955;895;0;;895;50;182;119;294;29;4;206;10;1
Hoeven;G0799;10065;Noord-Brabant;P30;2468;2265;0;;2265;2060;124;18;8;5;19;1;9;21
Holten;G0165;11246;Overijssel;P23;2869;2819;0;;2819;70;639;443;1188;388;38;16;25;12
Hontenisse;G0675;11123;Zeeland;P29;3252;2824;0;;2824;2455;93;33;95;35;12;14;21;66
Hoofdplaat;G0676;10147;Zeeland;P29;681;644;0;;644;523;17;17;53;2;5;8;9;10
Hoogblokland;G0535;11040;Zuid-Holland;P28;516;484;0;;484;4;140;170;10;131;1;26;2;
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;1218;1183;0;;1183;1131;24;10;7;4;1;1;1;4
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;2453;2322;0;;2322;1105;185;154;780;51;15;24;6;2
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;1534;1506;0;;1506;1439;18;1;42;1;1;;;4
Hoogeveen;G0118;10839;Drenthe;P22;10161;8866;0;;8866;92;1724;4029;1999;398;397;167;45;15
Hoogezand;G1083;10410;Groningen;P20;7752;6878;0;;6878;544;2995;608;332;906;1182;12;278;21
Hoogkarspel;G0403;10642;Noord-Holland;P27;1279;1202;0;;1202;832;257;16;7;66;22;;2;
Hoogkerk;G1084;10953;Groningen;P20;2591;2385;0;;2385;55;776;829;339;159;161;3;59;4
Hoogland;G0320;10545;Utrecht;P26;2032;1949;0;;1949;1449;69;92;210;25;16;65;11;12
Hoogwoud;G0404;11029;Noord-Holland;P27;1345;1247;0;;1247;611;338;28;8;165;87;1;8;1
Hoorn;G0405;11392;Noord-Holland;P27;8024;7327;0;;7327;2513;2569;437;221;767;669;19;79;53
Hoornaar;G0536;10516;Zuid-Holland;P28;459;424;0;;424;;103;203;8;84;4;21;1;
Horn;G0922;11176;Limburg;P31;1238;1260;0;;1260;1191;20;2;2;2;10;1;11;21
Horssen;G0254;10607;Gelderland;P25;581;549;0;;549;475;8;1;58;2;;1;1;3
Horst;G0923;11108;Limburg;P31;4559;4417;0;;4417;4240;46;3;4;3;19;;4;98
Houten;G0321;10230;Utrecht;P26;1456;1385;0;;1385;881;83;144;66;25;11;126;8;41
Huijbergen;G0803;10466;Noord-Brabant;P30;412;405;0;;405;376;11;5;;1;7;1;;4
Huissen;G0255;11047;Gelderland;P25;3312;3188;0;;3188;2857;100;26;117;19;9;2;8;50
Huizen;G0406;11170;Noord-Holland;P27;6545;5954;0;;5954;108;1032;2458;1208;386;146;474;112;30
Hulsberg;G0924;11216;Limburg;P31;1025;956;0;;956;862;36;5;2;2;22;;4;23
Hulst;G0677;11408;Zeeland;P29;2437;2207;0;;2207;1683;140;21;53;47;27;7;36;193
Hummelo en Keppel;G0256;11235;Gelderland;P25;2053;1978;0;;1978;354;659;348;229;313;32;13;25;5
